date,industrial_production,capacity_utilization,real_GDP_growth_rate,unemployment_rate,nonfarm_payroll,laborforce_participation,civilian_labor_force,CPI,core_CPI,PPI,federal_funds_rate,real_M1_money_supply_growth,real_M2_money_supply_growth,10Y_treasury_yield,5Y_treasury_yield,7Y_treasury_yield,30Y_treasury_yield,3Y_treasury_yield,2Y_treasury_yield,1Y_treasury_yield,consumer_sentiment,personal_consumption_expenditures,real_disposable_personal_income,total_consumer_credit,trade_balance,building_permits,housing_start,median_sale_price_new_houses,nonfarm_business_sector_real_output_per_hour,recession,gold_price,SP500_price,DJI_price
1988-09-01,-0.198599999999999,84.308,3.981829024900424,5.4,0.003202844669674576,-0.19999999999998863,121960.0,0.5,0.7000000000000028,0.09999999999999432,0.17999999999999972,0.0005105296856262598,0.0016585155014272601,-0.27999999999999936,-0.25,-0.26000000000000156,-0.2599999999999998,-0.1999999999999993,-0.16999999999999993,-0.08000000000000007,-0.10000000000000853,8.12415060330663,0.002021544570386169,0.001955177299965527,0.0,-24.0,1492.0,0.058268908123976004,0.0,0.0,-17.819999999999993,0.03900006813344703,0.03921787347176142
1988-10-01,0.2702999999999989,84.6144,6.302573129309623,5.4,0.0024777556496307085,0.09999999999999432,122206.0,0.4000000000000057,0.5,0.10000000000000853,0.11000000000000121,-0.0005105296856262598,0.0028367855300883704,-0.17999999999999972,-0.17999999999999972,-0.17999999999999972,-0.16999999999999993,-0.14000000000000057,-0.11000000000000121,0.019999999999999574,-3.200000000000003,8.135552026031073,0.005394803874130716,0.004358218718641282,-8.430999999999997,80.0,1522.0,-0.03224680276077585,0.001108423249617907,0.0,-6.680000000000007,0.02577743018294054,0.016773593688890642
1988-11-01,0.15610000000000213,84.7506,6.091939999554457,5.3,0.0032034899374000503,0.20000000000000284,122637.0,0.3999999999999915,0.3999999999999915,0.09999999999999432,0.049999999999998934,0.0020405567595753737,0.005012204589481151,0.16000000000000014,0.27999999999999936,0.20000000000000107,0.129999999999999,0.2900000000000009,0.3200000000000003,0.370000000000001,-1.0999999999999943,8.140373847497981,0.0002869070010653729,0.004883681210095858,0.0,-8.0,1569.0,-0.02239233731262047,0.0,0.0,13.390000000000043,-0.019179165774732,-0.016016630777044405
1988-12-01,0.28020000000000067,85.0433,6.679705337752411,5.3,0.002632135093405097,-0.10000000000000853,122622.0,0.4000000000000057,0.4000000000000057,0.7000000000000028,0.41000000000000014,0.0022906602024290734,0.002680787075624025,0.14999999999999858,0.3000000000000007,0.2400000000000002,-0.009999999999999787,0.3899999999999988,0.41999999999999993,0.5099999999999998,-1.0999999999999943,8.148937159090345,0.004764945948092958,0.003089389766781636,0.0,-7.0,1563.0,0.09168041175374597,0.0,0.0,-1.1200000000000045,0.014508778266120181,0.025244856980788377
1989-01-01,0.18260000000000076,85.1871,4.216607494364171,5.4,0.0024572676910228353,0.4000000000000057,123390.0,0.5,0.5,1.5,0.35999999999999943,-0.0012719411534209968,0.0011705882705950188,-0.019999999999999574,0.0600000000000005,0.009999999999999787,-0.08000000000000007,0.08999999999999986,0.08999999999999986,0.0600000000000005,6.0,8.155850226342965,0.004017500025602416,0.023101639538859686,6.728999999999999,-35.0,1621.0,-0.06840272688440052,0.0017217756107061888,0.0,-15.04000000000002,0.06887283067293115,0.07707392704573834
1989-02-01,-0.2761000000000067,84.6881,0.7940445974676185,5.2,0.002479170654860141,-0.20000000000000284,123135.0,0.3999999999999915,0.4000000000000057,0.29999999999999716,0.2400000000000002,-0.0024211544162451304,0.00016711509255351586,0.08000000000000007,0.11999999999999922,0.08999999999999986,0.08000000000000007,0.120000000000001,0.1899999999999995,0.1999999999999993,-2.5,8.15708378502887,0.0027402917879744138,0.005153321967711122,0.0,-83.0,1425.0,0.04329680575332162,0.0,0.0,-16.5,-0.029333617513494836,-0.036489721162391575
1989-03-01,0.15920000000000556,84.7698,2.708906294942351,5.0,0.0018042488433049897,0.0,123227.0,0.6000000000000085,0.5,0.7000000000000028,0.4900000000000002,-0.001021189774728093,0.002503380869780969,0.1899999999999995,0.2400000000000002,0.1999999999999993,0.16000000000000014,0.28999999999999915,0.3100000000000005,0.3200000000000003,-1.1000000000000085,8.1601753315457,0.004865707841501532,0.009419445138760807,0.0,-169.0,1422.0,0.04149973090675729,0.0,0.0,2.6399999999999864,0.020555708349041524,0.015479185431520825
1989-04-01,-0.02190000000000225,84.59,4.127910073683911,5.2,0.001578371077682661,0.10000000000000853,123565.0,0.8999999999999915,0.3999999999999915,0.7999999999999972,-0.009999999999999787,-0.004864943662477472,0.002098007663006385,-0.17999999999999972,-0.20999999999999908,-0.1899999999999995,-0.14000000000000057,-0.20999999999999908,-0.23000000000000043,-0.21000000000000085,-2.799999999999997,8.172729104865471,-0.005248613247273326,0.0061573162439518825,12.805000000000007,162.0,1339.0,-0.05257781607990886,0.0028922271889921802,0.0,-5.75,0.048644825894340826,0.053140193951628056
1989-05-01,-0.3417999999999992,83.9611,2.494596927683232,5.2,0.0011311798854816146,-0.10000000000000853,123474.0,0.6000000000000085,0.5000000000000142,0.9000000000000057,-0.02999999999999936,-0.005404722974978071,0.0018612076630475372,-0.3200000000000003,-0.39000000000000057,-0.35999999999999943,-0.1999999999999993,-0.41999999999999993,-0.4299999999999997,-0.379999999999999,-0.7999999999999972,8.175209796220495,-0.004663338751285551,0.005949541996731256,0.0,5.0,1331.0,0.019516953819019633,0.0,0.0,-13.349999999999966,0.03460113464515224,0.02504749280186136
1989-06-01,-0.0014000000000038426,83.784,3.794288414092068,5.3,0.0010558489449916664,0.20000000000000284,123995.0,0.3999999999999915,0.5,-0.29999999999999716,-0.28000000000000114,-0.001937359340226763,0.0053978109369552385,-0.5800000000000001,-0.620000000000001,-0.5700000000000003,-0.5600000000000005,-0.6100000000000012,-0.6099999999999994,-0.5400000000000009,-0.10000000000000853,8.179368040018414,0.00277503219943398,0.005123385990335905,0.0,-59.0,1397.0,0.03143352260151211,0.0,0.0,-3.4499999999999886,-0.00783089358054756,-0.016296413052070413
